Food_Item_ID,foodcode,modcode,foodname,portionwgt,Portion_Factor,portiondesc,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)","_606 Fatty acids, total saturated (g)",_301 Calcium (mg),_307 Sodium (mg)
109,11541120,101293,"Milk shake,  fountain-type, vanilla or strawberry, with 2% milk",283.00,2.83,milkshake (10 fl oz),7.92,9.73,61.01,38.60,0.85,6.03,291.49,138.67
110,11541120,201586,"Milk shake,  fountain-type, vanilla or strawberry, with low fat milk",283.00,2.83,milkshake (10 fl oz),7.81,11.29,60.70,38.37,0.85,7.00,283.00,144.33
111,11541120,202978,"Milk shake,  fountain-type, vanilla or strawberry, with skim milk",283.00,2.83,milkshake (10 fl oz),7.92,8.35,60.85,38.37,0.85,5.13,288.66,135.84
112,11541400,000000,"Milk shake, with malt, with whole milk",283.00,2.83,milkshake (10 fl oz),9.65,14.35,61.50,56.06,0.57,8.45,311.30,192.44
113,11541400,101023,"Milk shake, with malt, with 1% milk",283.00,2.83,milkshake (10 fl oz),9.99,10.95,61.78,56.29,0.57,6.62,331.11,192.44
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",475.00,4.75,medium shake (20 fl oz),16.15,17.58,97.38,88.35,9.02,10.99,536.75,460.75
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",333.00,3.33,Roy Rogers shake,11.32,12.32,68.27,61.94,6.33,7.70,376.29,323.01
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",517.00,3.97,medium Burger King shake,13.50,14.69,81.39,73.84,7.54,9.18,448.61,385.09
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",480.00,5.39,medium Dairy Queen shake,18.33,19.94,110.49,100.25,10.24,12.47,609.06,522.82
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",267.00,2.82,McDonald's child size shake (12 fl oz),9.59,10.43,57.81,52.45,5.36,6.52,318.65,273.53
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",473.00,4.94,McDonald's medium shake (21 fl oz),16.80,18.28,101.27,91.88,9.39,11.43,558.22,479.18
114,11542100,000000,"Milk shake, fast food or carry-out, chocolate",188.00,1.88,cup,6.39,6.96,38.54,34.97,3.57,4.35,212.43,182.35
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",475.00,4.75,medium shake (20 fl oz),16.01,30.97,93.05,64.74,4.28,18.82,546.25,384.75
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",333.00,3.33,Roy Rogers shake,11.22,21.71,65.23,45.39,3.00,13.19,382.95,269.73
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",517.00,3.97,medium Burger King shake,13.38,25.88,77.77,54.11,3.57,15.73,456.55,321.57
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",480.00,5.39,medium Dairy Queen shake,18.16,35.14,105.59,73.46,4.85,21.35,619.84,436.58
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",266.00,2.82,McDonald's child size shake (12 fl oz),9.50,18.39,55.24,38.44,2.54,11.17,324.29,228.41
115,11542200,000000,"Milk shake, fast food or carry out, vanilla or strawberry",470.00,4.94,McDonald's medium shake (21 fl oz),16.65,32.21,96.77,67.33,4.45,19.57,568.10,400.14
116,11551050,204588,"Fruit smoothie, made with whole milk",209.00,2.09,cup,4.76,4.51,27.34,22.91,1.46,2.51,156.74,58.52
117,11551050,206451,"Fruit smoothie, made with fat free (skim) milk",209.00,2.09,cup,5.06,0.31,27.50,22.93,1.46,0.12,167.19,56.43
118,11551050,206885,"Fruit smoothie, made with reduced fat (2%) milk",209.00,2.09,cup,4.95,2.82,27.34,22.93,1.46,1.71,165.10,62.70
119,11551050,206927,"Fruit smoothie, made with low fat (1%) milk",209.00,2.09,cup,5.06,1.48,27.59,23.09,1.46,0.88,171.37,58.52
120,11552200,000000,Orange Julius,262.00,2.62,cup,14.12,0.37,38.83,35.24,0.26,0.19,471.60,199.12
121,11553000,000000,"Fruit smoothie, made with yogurt and ice cream",202.00,2.02,cup,3.45,3.41,41.21,33.75,2.42,2.03,107.06,54.54
121,11553000,000000,"Fruit smoothie, made with yogurt and ice cream",506.00,5.06,commercial smoothie (20 fl oz),8.65,8.55,103.22,84.55,6.07,5.07,268.17,136.62
122,11560000,000000,Chocolate-flavored drink,244.00,2.44,cup (drink box),1.56,0.98,26.06,21.18,1.46,0.76,243.99,222.03
122,11560000,000000,Chocolate-flavored drink,274.00,2.74,bottle (9 fl oz),1.75,1.10,29.26,23.78,1.64,0.85,274.00,249.34
123,11560020,000000,Strawberry-flavored drink,244.00,2.44,cup,1.56,0.98,26.06,21.18,1.46,0.76,243.99,222.03
123,11560020,000000,Strawberry-flavored drink,274.00,2.74,bottle (9 fl oz),1.75,1.10,29.26,23.78,1.64,0.85,274.00,249.34
124,11561000,000000,"Cafe con leche, with whole milk",190.00,1.90,coffee cup (6 fl oz),3.15,3.15,4.64,4.86,0.00,1.80,110.19,43.70
125,11561010,000000,Cafe con leche  with sugar,190.00,1.90,coffee cup (6 fl oz),2.94,2.94,16.64,16.85,0.00,1.68,104.49,39.90
126,11561010,204009,Cafe con leche with sugar and 2% milk,190.00,1.90,coffee cup (6 fl oz),3.08,1.80,16.64,16.85,0.00,1.13,110.19,43.70
127,11611000,000000,"Instant breakfast, canned",250.00,2.50,cup,13.65,4.70,32.33,32.85,0.25,2.73,352.50,222.50
127,11611000,000000,"Instant breakfast, canned",313.00,3.13,can (10 fl oz),17.09,5.88,40.47,41.13,0.31,3.41,441.32,278.56
128,11612000,100069,"Instant breakfast, powder, with 2% milk",247.00,2.47,cup,13.55,4.70,31.83,32.25,0.13,2.88,350.06,226.02
129,11612000,200404,"Instant breakfast, powder, with whole milk ",247.00,2.47,cup,13.23,7.42,31.83,32.68,0.13,4.18,335.05,217.44
130,11612000,201746,"Instant breakfast, powder, with skim milk",247.00,2.47,cup,13.68,0.62,32.10,32.25,0.13,0.30,354.17,214.90
131,11612000,206499,"Instant breakfast, powder, with 1% milk",247.00,2.47,cup,13.70,2.54,32.23,32.55,0.13,1.54,360.79,219.58
132,11613000,203344,"Instant breakfast, powder, low calorie sweetener, with 2% milk",247.00,2.47,cup,14.23,5.47,18.63,18.85,0.38,3.28,367.51,241.46
133,11622010,000000,"Diet beverage, powder, made with fat free milk",247.00,2.47,cup,14.38,1.14,18.97,18.90,0.49,0.53,372.97,229.71
134,11623000,000000,Ensure Nutrition Shake,248.00,2.48,cup,8.68,3.47,27.03,27.03,0.00,0.63,198.40,421.60
134,11623000,000000,Ensure Nutrition Shake,341.00,3.41,can (11 fl oz),11.94,4.77,37.17,37.17,0.00,0.87,272.80,579.70
134,11623000,000000,Ensure Nutrition Shake,372.00,3.72,carton (12 fl oz),13.02,5.21,40.55,40.55,0.00,0.95,297.60,632.40
135,11631000,000000,"Meal supplement, high calorie, canned or powdered, reconstituted",250.00,2.50,cup,10.53,6.57,32.35,32.28,0.00,0.89,230.00,165.00
135,11631000,000000,"Meal supplement, high calorie, canned or powdered, reconstituted",399.00,3.99,can  (12.5 fl oz),16.80,10.49,51.63,51.51,0.00,1.42,367.08,263.34
136,11641000,000000,"Meal replacement, high protein, liquid",256.00,2.56,cup,14.59,5.63,33.28,33.28,0.00,0.92,240.64,220.16
137,11641020,000000,Boost Nutritional Energy Drink,256.00,2.56,cup,14.59,5.63,33.28,33.28,0.00,0.92,240.64,220.16
138,11811000,000000,"Milk, dry, whole, not reconstituted",128.00,1.28,cup,33.69,34.19,49.18,49.18,0.00,21.43,1167.36,474.88
138,11811000,000000,"Milk, dry, whole, not reconstituted",8.00,0.08,tablespoon,2.11,2.14,3.07,3.07,0.00,1.34,72.96,29.68
139,11812000,000000,Low fat dry milk powder,120.00,1.20,cup,41.71,2.04,62.00,62.00,0.00,1.29,1462.80,652.80
139,11812000,000000,Low fat dry milk powder,7.50,0.08,tablespoon,2.61,0.13,3.88,3.88,0.00,0.08,91.43,40.80
140,11813000,000000,"Milk, dry, nonfat, not reconstituted",68.00,0.68,cup,23.87,0.49,35.49,35.49,0.00,0.32,837.08,373.32
140,11813000,000000,"Milk, dry, nonfat, not reconstituted",4.29,0.04,tablespoon,1.51,0.03,2.24,2.24,0.00,0.02,52.81,23.55
141,11820000,000000,"Buttermilk, dry, not reconstituted",6.50,0.07,tablespoon,2.23,0.38,3.19,3.19,0.00,0.23,76.96,33.61
142,11825000,000000,"Whey, sweet, dry",7.50,0.08,tablespoon,0.97,0.08,5.58,5.58,0.00,0.05,59.70,80.93
143,11830100,000000,"Cocoa, dry mix (with milk & sugar), not reconstituted",8.00,0.08,tablespoon,0.53,0.32,6.70,5.24,0.30,0.19,10.64,40.32
144,11830110,000000,"Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted",7.00,0.07,tablespoon,1.08,0.21,5.04,2.64,0.53,0.12,40.32,61.32
145,11830150,000000,"Cocoa powder, unsweetened",86.00,0.86,cup,16.86,11.78,49.79,1.51,28.55,6.94,110.08,18.06
145,11830150,000000,"Cocoa powder, unsweetened",5.40,0.05,tablespoon,1.06,0.74,3.13,0.09,1.79,0.44,6.91,1.13
145,11830150,000000,"Cocoa powder, unsweetened",1.80,0.02,teaspoon,0.35,0.25,1.04,0.03,0.60,0.15,2.30,0.38
146,11830160,000000,"Chocolate flavored powdered drink mix, not reconstituted",11.00,0.11,tablespoon,0.43,0.29,9.96,9.11,0.51,0.23,27.06,16.61
147,11830170,000000,"Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted",5.50,0.07,tablespoon,1.08,0.21,5.04,2.64,0.53,0.12,40.32,61.32
149,11830210,000000,"Malted milk, dry mix, fortified, natural flavor, not reconstituted",21.00,0.21,serving (4 tablespoons),1.98,0.28,17.55,13.31,0.40,0.14,78.96,133.56
151,11830260,000000,"Malted milk, dry mix, fortified, chocolate, not reconstituted",21.00,0.21,serving (4 tablespoons),1.03,0.71,17.77,14.82,0.99,0.41,93.03,124.74
152,11830400,000000,"Nestle's Quik powder, strawberry",22.00,0.22,serving (2-3 heaping teaspoons),0.02,0.04,21.80,21.00,0.00,0.00,0.88,8.36
153,11830800,000000,"Instant breakfast, powder, not reconstituted",7.40,0.07,tablespoon,1.47,0.10,4.90,4.87,0.03,0.04,21.09,28.49
154,11830810,000000,"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",5.59,0.06,tablespoon,2.00,0.29,2.30,2.18,0.11,0.12,28.00,40.15
