foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Instant breakfast, powder, low calorie sweetener, with 2% milk",cup,14.23,5.47,18.63,18.85,0.38,3.28,367.51,241.46
"Diet beverage, powder, made with fat free milk",cup,14.38,1.14,18.97,18.90,0.49,0.53,372.97,229.71
Ensure Nutrition Shake,cup,8.68,3.47,27.03,27.03,0.00,0.63,198.40,421.60
Ensure Nutrition Shake,can (11 fl oz),11.94,4.77,37.17,37.17,0.00,0.87,272.80,579.70
Ensure Nutrition Shake,carton (12 fl oz),13.02,5.21,40.55,40.55,0.00,0.95,297.60,632.40
"Meal supplement, high calorie, canned or powdered, reconstituted",cup,10.53,6.57,32.35,32.28,0.00,0.89,230.00,165.00
"Meal supplement, high calorie, canned or powdered, reconstituted",can  (12.5 fl oz),16.80,10.49,51.63,51.51,0.00,1.42,367.08,263.34
"Meal replacement, high protein, liquid",cup,14.59,5.63,33.28,33.28,0.00,0.92,240.64,220.16
Boost Nutritional Energy Drink,cup,14.59,5.63,33.28,33.28,0.00,0.92,240.64,220.16
"Milk, dry, whole, not reconstituted",cup,33.69,34.19,49.18,49.18,0.00,21.43,1167.36,474.88
"Milk, dry, whole, not reconstituted",tablespoon,2.11,2.14,3.07,3.07,0.00,1.34,72.96,29.68
Low fat dry milk powder,cup,41.71,2.04,62.00,62.00,0.00,1.29,1462.80,652.80
Low fat dry milk powder,tablespoon,2.61,0.13,3.88,3.88,0.00,0.08,91.43,40.80
"Milk, dry, nonfat, not reconstituted",cup,23.87,0.49,35.49,35.49,0.00,0.32,837.08,373.32
"Milk, dry, nonfat, not reconstituted",tablespoon,1.51,0.03,2.24,2.24,0.00,0.02,52.81,23.55
"Buttermilk, dry, not reconstituted",tablespoon,2.23,0.38,3.19,3.19,0.00,0.23,76.96,33.61
"Whey, sweet, dry",tablespoon,0.97,0.08,5.58,5.58,0.00,0.05,59.70,80.93
"Cocoa, dry mix (with milk & sugar), not reconstituted",tablespoon,0.53,0.32,6.70,5.24,0.30,0.19,10.64,40.32
"Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted",tablespoon,1.08,0.21,5.04,2.64,0.53,0.12,40.32,61.32
"Cocoa powder, unsweetened",cup,16.86,11.78,49.79,1.51,28.55,6.94,110.08,18.06
"Cocoa powder, unsweetened",tablespoon,1.06,0.74,3.13,0.09,1.79,0.44,6.91,1.13
"Cocoa powder, unsweetened",teaspoon,0.35,0.25,1.04,0.03,0.60,0.15,2.30,0.38
"Chocolate flavored powdered drink mix, not reconstituted",tablespoon,0.43,0.29,9.96,9.11,0.51,0.23,27.06,16.61
"Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted",tablespoon,1.08,0.21,5.04,2.64,0.53,0.12,40.32,61.32
"Malted milk, dry mix, fortified, natural flavor, not reconstituted",serving (4 tablespoons),1.98,0.28,17.55,13.31,0.40,0.14,78.96,133.56
"Malted milk, dry mix, fortified, chocolate, not reconstituted",serving (4 tablespoons),1.03,0.71,17.77,14.82,0.99,0.41,93.03,124.74
