foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
Nonfat sour cream ,container (8 oz),7.01,0.00,35.25,0.88,0.00,0.00,282.49,318.65
"Sour cream, imitation (nondairy)",tablespoon,0.35,2.81,0.95,0.95,0.00,2.56,0.43,14.69
"Sour cream, imitation (nondairy)",ounce(s),0.68,5.53,1.88,1.88,0.00,5.04,0.85,28.92
"Sour cream, imitation (nondairy)",container (8 oz),5.45,44.31,15.05,15.05,0.00,40.39,6.81,231.54
"Dip, made with sour cream",tablespoon,0.28,4.81,0.41,0.35,0.03,1.68,13.07,64.60
"Dip, made with fat free sour cream",tablespoon,0.52,0.00,2.90,0.11,0.07,0.00,19.19,106.32
"Dip, made with light sour cream",tablespoon,0.58,1.50,1.72,0.08,0.07,0.93,21.45,98.99
"Dip, made with reduced fat sour cream",tablespoon,0.38,3.83,0.56,0.05,0.03,1.21,12.30,66.30
"Spinach dip, made with sour cream and mayonnaise",tablespoon,0.33,3.64,0.78,0.27,0.21,0.90,11.25,43.80
"Spinach dip, made with fat free sour cream and low-calorie mayonnaise",tablespoon,0.37,0.81,2.16,0.31,0.20,0.13,12.07,49.44
"Spinach dip, made with reduced fat sour cream and mayonnaise",tablespoon,0.53,3.56,1.03,0.19,0.20,0.81,12.54,41.60
"Ice cream, regular, vanilla or other flavors",cup,4.66,14.63,31.39,28.22,0.93,9.03,170.24,106.40
"Ice cream, regular, vanilla or other flavors",medium scoop,2.31,7.26,15.58,14.01,0.46,4.48,84.48,52.80
"Ice cream, regular, vanilla or other flavors",single-serve cup (3 fl oz),1.79,5.61,12.04,10.82,0.36,3.46,65.28,40.80
"Ice cream, regular, chocolate",cup,5.05,14.63,37.51,33.73,1.60,9.04,144.97,101.08
"Ice cream, regular, chocolate",single-serve cup (3.5 fl oz),2.28,6.60,16.92,15.22,0.72,4.08,65.40,45.60
"Ice cream, regular, chocolate",medium scoop,2.51,7.26,18.61,16.74,0.79,4.49,71.94,50.16
"Ben and Jerry's ice cream, vanilla or other flavors",cup,5.18,23.98,32.99,30.56,0.00,15.29,173.16,90.28
"Ben and Jerry's ice cream, vanilla or other flavors",medium scoop,2.59,11.99,16.49,15.28,0.00,7.64,86.58,45.14
"Ben and Jerry's ice cream, vanilla or other flavors",Viennetta slice,2.35,10.85,14.93,13.84,0.00,6.92,78.39,40.87
"Ben and Jerry's ice cream, chocolate",cup,6.99,25.13,30.71,25.68,1.33,15.36,210.16,84.36
"Ben and Jerry's ice cream, chocolate",medium scoop,3.49,12.57,15.36,12.84,0.67,7.68,105.08,42.18
"Ben and Jerry's ice cream, chocolate",Viennetta slice,3.16,11.38,13.90,11.62,0.60,6.95,95.14,38.19
"Ice cream, soft serve, vanilla or other flavors",cup,6.06,19.03,40.83,36.71,1.21,11.75,221.44,138.40
"Ice cream, soft serve, chocolate",cup,7.09,22.49,38.41,36.61,1.21,12.91,226.63,105.53
"Ice cream, no sugar added, vanilla or other flavors",cup,3.99,16.00,28.01,8.00,6.05,8.56,161.28,60.48
"Ice cream, no sugar added, vanilla or other flavors",medium scoop,2.00,8.00,14.00,4.00,3.02,4.28,80.64,30.24
"Ice cream, no sugar added, chocolate",cup,4.79,16.00,33.77,8.00,6.05,8.57,137.34,95.76
"Ice cream, no sugar added, chocolate",medium scoop,2.39,8.00,16.88,4.00,3.02,4.28,68.67,47.88
"Ice cream bar, no coating",bar,1.96,6.16,13.22,11.88,0.39,3.80,71.68,44.80
"Ice cream bar, chocolate covered",3 Musketeers Bar,2.09,12.29,12.50,9.33,0.41,6.73,60.69,34.68
"Ice cream bar, chocolate covered",Heath bar,2.62,15.42,15.68,11.71,0.51,8.45,76.16,43.52
"Ice cream bar, chocolate covered",Klondike Krispy bar,3.77,22.17,22.54,16.84,0.74,12.15,109.48,62.56
"Ice cream bar, chocolate covered",Mickey Mouse bar,1.76,10.36,10.54,7.87,0.34,5.68,51.17,29.24
"Ice cream bar, chocolate covered",Rondo,0.74,4.34,4.41,3.29,0.14,2.38,21.42,12.24
"Ice cream bar, chocolate covered",bar,2.30,13.50,13.72,10.25,0.45,7.39,66.64,38.08
"Ice cream bar, chocolate covered",Ice cream nugget,0.33,1.93,1.96,1.46,0.06,1.06,9.52,5.44
"Ice cream bar, chocolate covered",3 Musketeers Bar (snack size),0.78,4.58,4.66,3.48,0.15,2.51,22.61,12.92
"Ice cream bar, chocolate or caramel covered, with nuts",bar,2.16,9.90,15.14,14.70,0.29,6.20,123.48,45.08
"Ice cream bar, chocolate or caramel covered, with nuts",bar,2.51,11.51,17.61,17.10,0.34,7.22,143.64,52.44
"Ice cream bar, chocolate or caramel covered, with nuts",bar,2.38,10.91,16.69,16.20,0.32,6.84,136.08,49.68
"Ice cream bar, chocolate or caramel covered, with nuts",bar,2.11,9.70,14.83,14.40,0.29,6.08,120.96,44.16
"Dove bar, chocolate ice cream",bar,3.58,18.91,28.69,24.28,2.11,11.31,79.38,34.02
"Dove bar, vanilla ice cream",bar (3 fl oz),3.84,16.39,27.07,24.22,0.81,10.35,112.59,53.46
Haagen-Dazs ice cream bar with nuts,Haagen-Dazs bar,6.67,25.04,33.45,28.70,1.92,12.89,163.84,66.66
"Ice cream bar, chocolate ice cream, chocolate covered",3 Musketeers Bar (2 fl oz),2.26,7.35,17.10,15.17,0.83,4.56,61.74,37.73
"Ice cream bar, cake covered",bar,2.55,7.96,21.70,12.96,0.65,2.62,60.77,182.31
Ice cream bar or stick with fruit,bar,0.93,2.55,10.14,8.80,0.94,1.56,31.98,18.45
Ice cream bar or stick with fruit,Col Crunch Sundae on a stick,1.43,3.92,15.58,13.52,1.45,2.40,49.14,28.35
Ice cream sandwich,Oreo mini sandwich,1.24,2.49,10.77,5.39,0.00,0.67,24.94,37.41
Ice cream sandwich,sandwich,2.53,5.06,21.91,10.96,0.00,1.37,50.74,76.11
Ice cream cookie sandwich,Chipwich,3.89,7.77,41.58,22.37,1.26,1.75,76.65,170.10
Ice cream cookie sandwich,sandwich,2.18,4.37,23.36,12.57,0.71,0.98,43.07,95.58
"Ice cream cone, vanilla ice cream or other flavors, with nuts",cone,4.61,12.66,20.01,14.36,1.56,4.83,111.54,61.62
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",Choco Taco,4.79,20.13,31.63,23.00,0.92,10.54,57.96,86.48
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",Nutty Buddy,3.13,13.13,20.63,15.00,0.60,6.87,37.80,56.40
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",cone and single dip,4.06,17.07,26.82,19.50,0.78,8.94,49.14,73.32
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered",cone and single dip,3.03,9.61,24.11,17.91,1.01,5.71,88.14,67.86
"Ice cream cone, vanilla ice cream or other flavors ",cone and single dip,2.93,8.40,20.88,15.87,0.62,5.05,95.16,70.20
"Ice cream cone, chocolate ice cream, with nuts",cone,4.91,12.19,22.88,17.69,1.72,4.30,107.64,43.68
"Ice cream cone, chocolate ice cream, chocolate covered ",cone,3.18,8.78,26.96,21.56,1.09,5.20,82.68,49.14
"Ice cream cone, chocolate ice cream",cone and single dip,3.17,7.43,24.84,19.62,0.78,4.41,88.14,52.26
"Ice cream cone, chocolate ice cream, chocolate covered, with nuts",cone,4.79,13.03,24.91,19.55,1.95,5.02,101.40,41.34
Drumstick ice cream sundae cone,cone,6.07,16.36,31.83,23.08,2.03,7.94,116.63,86.67
"Ice cream soda, vanilla or other flavors",cup,1.77,5.57,26.92,25.73,0.38,3.43,71.04,59.52
"Ice cream soda, vanilla or other flavors",soda (10 fl oz),2.21,6.96,33.65,32.16,0.48,4.29,88.80,74.40
"Ice cream soda, chocolate",cup,1.92,5.57,29.24,27.80,0.58,3.43,61.44,57.60
"Ice cream soda, chocolate",soda (10 fl oz),2.40,6.96,36.55,34.75,0.72,4.29,76.80,72.00
"Ice cream sundae, fruit topping, with whipped cream",banana split,9.69,46.24,141.70,85.68,2.55,28.64,344.25,233.75
"Ice cream sundae, fruit topping, with whipped cream",sundae,3.76,17.95,55.01,33.26,0.99,11.12,133.64,90.74
"Ice cream sundae, prepackaged, vanilla or other flavors",sundae (6 fl oz),5.63,7.86,38.51,27.17,0.39,4.05,157.20,124.45
"Ice cream sundae, chocolate or fudge topping, with whipped cream",sundae,5.97,22.39,53.29,37.02,1.98,13.12,155.09,254.08
"Ice cream sundae, caramel or butterscotch topping, with whipped cream",sundae,3.75,18.81,58.29,56.20,0.66,11.63,140.24,113.84
"Ice cream sundae, fudge topping, with cake and whipped cream",sundae,6.61,23.80,62.81,42.44,1.93,12.76,169.75,309.75
"Ice cream pie, no crust",piece (1/6 of whole),4.38,19.02,27.65,24.90,0.79,11.78,158.75,99.22
"Ice cream pie, with cookie crust, fudge topping, and whipped cream",piece (1/6 of whole),12.12,42.35,125.00,73.47,4.28,20.34,253.98,654.84
Fried ice cream,cup,5.29,20.03,43.37,29.38,1.46,8.85,135.66,202.16
"Ice cream, light, vanilla or other flavors ",cup,6.26,6.33,38.59,28.98,0.39,3.83,210.91,96.94
"Ice cream, light, vanilla or other flavors ",medium scoop,3.15,3.19,19.44,14.60,0.20,1.93,106.26,48.84
"Ice cream, light, chocolate",cup,6.55,9.42,33.67,32.37,1.05,5.74,208.29,93.01
"Ice cream, light, chocolate",medium scoop,3.40,4.89,17.48,16.80,0.54,2.98,108.12,48.28
"Ice cream, light, no sugar added, vanilla or other flavors",cup,5.44,10.21,29.35,8.85,0.00,5.55,186.32,131.52
"Ice cream, light, no sugar added, vanilla or other flavors",medium scoop,2.74,5.14,14.78,4.46,0.00,2.79,93.84,66.24
"Ice cream, light, no sugar added, chocolate",cup,4.85,7.86,36.70,7.74,1.23,4.95,165.77,102.75
"Ice cream, light, no sugar added, chocolate",medium scoop,2.44,3.96,18.48,3.90,0.62,2.49,83.49,51.75
"Ice cream, light, soft serve, vanilla or other flavors",cup,8.58,4.55,38.15,32.71,0.00,2.85,274.75,122.50
"Ice cream, light, soft serve, chocolate",cup,5.88,6.46,40.51,34.06,0.00,4.11,234.50,112.00
"Ice cream, light, soft serve, chocolate",medium Frosty,10.01,11.00,68.99,57.99,0.00,7.00,399.32,190.72
"Ice cream, light, soft serve, chocolate",Milky Way shake,7.06,7.75,48.61,40.87,0.00,4.93,281.40,134.40
"Ice cream, light, soft serve cone, vanilla or other flavors",McDonald's cone,3.82,4.37,23.72,17.54,0.09,2.29,116.10,72.90
"Ice cream, light, soft serve cone, vanilla or other flavors",McDonald's kiddie cone,1.23,1.41,7.64,5.65,0.03,0.74,37.41,23.49
"Ice cream, light, soft serve cone, vanilla or other flavors",medium fast food cone,8.40,9.62,52.19,38.59,0.20,5.03,255.42,160.38
"Ice cream, light, soft serve cone, chocolate",McDonald's cone,4.57,4.82,25.47,16.57,1.71,2.57,115.20,69.30
"Ice cream, light, soft serve cone, chocolate",McDonald's kiddie cone,1.47,1.55,8.21,5.34,0.55,0.83,37.12,22.33
"Ice cream, light, soft serve cone, chocolate",medium fast food cone,10.06,10.61,56.03,36.45,3.76,5.66,253.44,152.46
"Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)",medium Blizzard (13 fl oz),15.32,23.21,100.27,87.25,0.77,12.23,505.56,245.12
"Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)",regular McFlurry (12 fl oz),13.68,20.72,89.53,77.91,0.68,10.92,451.43,218.87
"Ice cream sandwich, light vanilla ice cream",sandwich,2.92,2.07,26.96,12.14,0.00,0.56,20.40,99.28
"Ice cream sandwich, light vanilla ice cream",Dairy Queen Sandwich,3.65,2.58,33.69,15.18,0.00,0.70,25.50,124.10
"Ice cream sandwich, light chocolate ice cream",sandwich,3.79,4.49,26.21,17.67,1.02,2.50,85.00,37.40
"Ice cream sandwich, light, no-sugar- added ice cream",sandwich,3.71,1.86,27.86,4.28,4.61,0.53,55.90,106.60
"Ice cream bar, light ice cream, chocolate-coated",Light Eskimo Pie bar,1.83,8.03,13.94,10.98,0.28,6.47,59.34,27.14
"Ice cream bar, light ice cream, chocolate-coated",bar (3 fl oz),2.23,9.78,16.97,13.37,0.34,7.88,72.24,33.04
"Ice cream bar, light ice cream, chocolate-coated",Weight Watchers English Toffee Crunch Bar,1.63,7.16,12.43,9.79,0.25,5.77,52.89,24.19
"Ice cream bar, light ice cream, chocolate covered, with nuts",Buster bar,10.59,32.82,42.24,31.75,2.53,19.93,178.80,77.48
"Ice cream cone, light ice cream, chocolate",cone and single dip,4.02,2.29,20.44,13.81,0.16,1.25,114.66,65.52
"Ice cream cone, light ice cream, vanilla or other flavors ",cone and single dip,3.56,2.73,23.43,18.56,0.47,1.50,105.30,60.06
"Ice cream sundae, light, soft serve, chocolate or fudge topping, with whipped cream ",sundae,7.04,17.55,59.07,37.90,1.81,10.05,179.84,257.38
"Ice cream sundae, light, soft serve, fruit topping, with whipped cream",sundae,4.69,12.82,60.90,33.89,0.66,7.91,156.74,82.50
"Ice cream sundae, light, soft serve, caramel or butterscotch topping, with whipped cream",sundae,4.78,10.25,69.97,63.32,0.33,6.27,166.64,113.84
"Ice cream sundae, light, soft serve, chocolate or fudge topping, no whipped cream",sundae,7.95,6.86,52.81,37.45,1.15,3.65,214.49,229.34
"Ice cream sundae, light, soft serve, fruit topping, no whipped cream",sundae,6.15,3.27,54.22,34.40,0.33,2.02,196.34,95.69
"Ice cream sundae, light, soft serve, caramel or butterscotch topping, no whipped cream",sundae,6.15,3.96,56.89,53.03,0.00,2.44,201.29,115.49
Creamsicle or dreamsicle,bar or stick,1.88,2.20,19.77,15.36,0.53,1.32,69.30,38.94
Fudgesicle,bar or stick,3.88,3.77,22.35,15.56,1.10,2.28,116.07,52.56
"Milk dessert bar or stick, frozen, with coconut",bar or stick,6.93,7.66,27.43,24.25,2.06,6.65,221.88,154.80
"Sherbet, all flavors",cup,2.12,3.86,58.67,46.94,2.51,2.24,104.21,88.78
"Sherbet, all flavors",Flintstone push-up (2.75 fl oz),0.68,1.24,18.85,15.08,0.81,0.72,33.48,28.52
"Sherbet, all flavors",medium scoop,1.06,1.92,29.18,23.35,1.25,1.11,51.84,44.16
"Sherbet, all flavors",push up (3 fl oz),0.73,1.32,20.06,16.05,0.86,0.77,35.64,30.36
"Fat free ice cream, no sugar added, chocolate",cup,5.10,8.27,38.57,8.14,1.30,5.20,174.23,107.99
"Fat free ice cream, no sugar added, chocolate",medium scoop,2.55,4.13,19.29,4.07,0.65,2.60,87.12,54.00
"Fat free ice cream, no sugar added, vanilla or other flavors",cup,6.35,0.00,40.23,12.70,10.66,0.00,211.67,158.39
"Fat free ice cream, no sugar added, vanilla or other flavors",medium scoop,3.18,0.00,20.12,6.35,5.33,0.00,105.84,79.20
"Fat free ice cream, vanilla or other flavors",cup,6.14,0.00,41.18,8.63,1.37,0.00,204.13,132.89
"Fat free ice cream, vanilla or other flavors",medium scoop,3.09,0.00,20.74,4.35,0.69,0.00,102.81,66.93
"Fat free ice cream, chocolate",cup,5.89,1.37,51.65,51.65,0.00,0.82,210.98,132.89
"Fat free ice cream, chocolate",medium scoop,2.97,0.69,26.01,26.01,0.00,0.41,106.26,66.93
"Milk dessert bar, frozen, made from low fat milk",Weight Watchers Treat Bar,3.57,1.19,26.80,17.87,5.35,0.66,149.04,74.52
"Milk dessert sandwich bar, frozen, made from low fat milk",Weight Watchers Sandwich bar,3.52,1.98,22.76,13.69,0.58,1.01,79.36,34.56
"Milk dessert sandwich bar, frozen, with low-calorie sweetener, made from low fat milk",Eskimo Pie Sandwich,3.51,5.78,31.48,17.88,1.24,1.92,46.61,227.74
"Milk dessert bar, frozen, made from low fat milk and low calorie sweetener",bar,1.48,0.40,9.13,1.61,0.66,0.24,41.41,41.82
"Light ice cream, bar or stick, with low-calorie sweetener, chocolate-coated ",bar or stick (2.5 fl oz),3.39,5.35,13.84,4.52,0.42,2.93,117.66,55.12
Baked Alaska,piece (1/8 of whole),4.97,10.07,36.65,29.03,0.52,4.60,86.52,140.08
"Bread pudding, with low fat (1%) milk",cup,11.16,8.04,47.12,29.48,2.00,2.54,282.00,432.00
"Bread pudding, with reduced fat (2%) milk",cup,11.08,9.36,46.86,29.30,2.00,3.35,274.00,436.00
"Bread pudding, with whole  milk",cup,10.88,11.02,46.86,29.30,2.00,4.15,266.00,430.00
"Bread pudding, with fat free (skim) milk",cup,11.16,6.86,46.98,29.30,2.00,1.78,278.00,428.00
"Bread pudding, Puerto Rican, with evaporated milk and rum ",cup,14.33,15.96,67.64,40.15,1.75,6.13,385.00,577.50
"Diplomat pudding, Puerto Rican ",cup,17.10,21.40,111.62,95.46,1.28,8.15,222.72,514.56
"Bread pudding, Mexican ",cup,10.32,23.46,83.60,54.20,2.65,8.74,167.28,497.76
"Bread pudding, Mexican, with milk ",cup,11.91,24.26,85.50,56.41,2.65,9.27,226.44,516.12
"Bread pudding, Mexican, lower fat",cup,18.67,14.72,125.85,59.85,4.75,5.08,205.00,937.50
"Custard, with whole milk",cup,12.08,10.98,26.64,26.99,0.00,5.28,263.51,219.59
"Custard, with reduced fat (2%) milk",cup,12.39,8.30,26.64,27.01,0.00,4.00,278.15,226.91
"Custard, with heavy cream",cup,9.83,81.81,22.69,22.52,0.00,49.69,161.03,209.83
"Custard, with fat free (skim) milk",cup,12.54,4.27,26.94,27.03,0.00,1.47,283.03,217.15
"Custard, with low fat (1%) milk",cup,12.54,6.15,27.03,27.30,0.00,2.69,287.91,222.03
"Custard, with soymilk",cup,10.98,7.22,26.99,24.03,0.49,1.78,273.27,226.91
"Custard, Puerto Rican style, with evaporated milk",cup,13.88,12.50,77.25,76.87,0.00,5.86,255.36,438.90
"Custard, Puerto Rican style, with reduced fat (2%) milk",cup,11.01,7.90,73.42,73.28,0.00,3.09,138.32,393.68
"Custard, Puerto Rican style, with whole milk",cup,10.88,8.94,73.42,73.28,0.00,3.58,133.00,391.02
"Custard, Puerto Rican style, with heavy cream",cup,10.00,35.75,72.25,71.87,0.00,20.39,93.10,388.36
"Pudding, rice, with rice beverage",cup,2.77,1.98,66.98,36.93,1.46,0.05,228.48,130.02
"Pudding, rice, with reduced fat (2%) milk",cup,8.18,3.76,60.05,37.00,0.94,2.29,229.90,144.67
"Pudding, rice, with whole milk",cup,7.91,6.02,60.05,37.35,0.94,3.37,217.44,137.56
"Pudding, rice, with low fat (1%) milk",cup,8.30,1.97,60.39,37.25,0.94,1.18,238.79,139.34
"Pudding, rice, with half and half",cup,7.57,20.64,59.41,28.42,0.95,12.75,202.73,134.10
"Pudding, rice, with fat free (skim) milk",cup,8.31,0.38,60.22,36.99,0.94,0.16,233.74,135.73
"Pudding, rice, with soy milk (soy beverage)",cup,7.00,2.89,60.27,34.46,1.33,0.42,226.79,145.00
"Pudding, tapioca,  home recipe, with reduced fat (2%) milk",cup,9.68,6.48,34.87,31.04,0.00,3.12,217.29,321.83
"Pudding, tapioca,  home recipe, with whole milk",cup,9.43,8.57,34.87,31.01,0.00,4.12,207.04,315.68
"Pudding, tapioca,  home recipe, with fat free (skim)  milk ",cup,9.78,3.32,35.05,31.04,0.00,1.14,221.39,313.63
"Pudding, tapioca,  dry mix, with whole milk ",cup,4.90,5.05,32.72,29.19,0.00,2.90,176.54,252.43
"Pudding, tapioca,  dry mix, with fat free (skim)  milk",cup,5.25,0.13,32.88,29.17,0.00,0.09,191.39,250.78
"Pudding, tapioca,  dry mix, with reduced fat (2%) milk",cup,5.15,3.09,32.72,29.20,0.00,1.96,188.09,259.03
"Pudding, tapioca,  dry mix, with low fat (1%) milk ",cup,5.25,1.52,33.00,29.42,0.00,0.98,196.34,254.08
"Pudding, tapioca,  dry mix, with light cream",cup,4.19,29.96,31.28,27.31,0.00,18.65,150.14,250.78
"Pudding, tapioca,  dry mix, with half and half",cup,4.60,17.87,32.11,28.16,0.00,11.12,164.99,250.78
"Pudding, tapioca,  dry mix, with soy milk (soy beverage)",cup,4.11,2.31,32.92,26.96,0.33,0.32,184.79,259.03
"Pudding, tapioca, chocolate, with milk",cup,5.94,3.56,35.19,28.72,1.65,2.15,188.09,249.13
"Coconut pudding, with reduced fat (2%) milk ",cup,7.57,8.72,44.85,40.87,1.27,7.16,265.19,464.08
"Coconut pudding, with whole milk ",cup,7.24,11.50,44.85,40.85,1.27,8.48,249.89,456.43
"Indian pudding, (with milk, molasses and cornmeal)",cup,9.72,8.46,50.20,35.27,0.71,4.36,291.51,447.93
"Pudding, pumpkin",cup,3.21,8.13,44.65,32.17,0.79,2.10,100.70,267.64
"Pudding, pumpkin, Puerto Rican style",cup,9.43,11.63,42.65,25.96,1.57,3.02,99.56,817.44
"Pudding, pumpkin, Puerto Rican style","piece (2-1/2"" x 2"" x 1"")",3.60,4.44,16.28,9.91,0.60,1.15,38.00,312.00
"Custard, fresh corn, Puerto Rican style ",cup,10.89,69.89,129.50,106.65,9.24,60.76,56.00,1791.94
"Pudding, vanilla, dry mix, with reduced fat (2%) milk",cup,7.50,4.67,50.95,48.66,0.00,2.94,274.56,562.32
"Pudding, vanilla, dry mix, with whole milk",cup,7.15,7.52,50.95,48.66,0.00,4.31,258.72,554.40
"Pudding, vanilla, dry mix, with fat free (skim) milk",cup,7.66,0.40,51.19,48.60,0.00,0.24,277.20,551.76
"Pudding, vanilla, dry mix, with low fat (1%) milk",cup,7.63,2.40,51.37,48.97,0.00,1.54,285.12,557.04
"Chocolate pudding, dry mix, with fat free (skim) milk",cup,8.51,1.07,50.40,35.89,1.83,0.58,284.48,592.45
"Chocolate pudding, dry mix, with reduced fat (2%) milk",cup,8.35,5.25,50.16,35.89,1.83,3.23,279.26,605.50
"Chocolate pudding, dry mix, with whole milk",cup,8.04,8.04,50.16,35.86,1.83,4.57,263.60,597.67
"Chocolate pudding, dry mix, with low fat (1%) milk",cup,8.51,3.03,50.58,36.20,1.83,1.86,289.70,600.28
"Chocolate pudding, dry mix, with half and half",cup,7.62,26.20,49.33,34.37,1.83,16.21,245.33,597.67
"Chocolate pudding, dry mix, with soymilk",cup,6.89,4.18,50.45,32.73,2.35,0.91,274.04,605.50
"Pudding, vanilla, low-calorie dry mix, with reduced fat (2%) milk",cup,7.92,4.75,23.88,12.18,0.00,2.97,297.50,535.00
"Pudding, vanilla, low-calorie dry mix, with fat free (skim) milk",cup,8.10,0.28,24.20,12.22,0.00,0.14,302.50,522.50
"Pudding, vanilla, low-calorie dry mix, with low fat (1%) milk",cup,8.10,2.35,24.33,12.50,0.00,1.50,310.00,527.50
"Pudding, vanilla, low-calorie dry mix, whole milk",cup,7.57,7.72,23.88,12.15,0.00,4.40,280.00,525.00
"Chocolate pudding, low-calorie dry mix, with reduced fat (2%) milk",cup,9.00,5.07,25.68,11.83,1.50,3.14,295.00,687.50
"Chocolate pudding, low-calorie dry mix, with fat free (skim) milk",cup,9.17,0.70,25.98,11.90,1.50,0.36,300.00,672.50
"Chocolate pudding, low-calorie dry mix, with low fat (1%) milk",cup,9.17,2.75,26.10,12.15,1.50,1.70,307.50,680.00
"Chocolate pudding, low-calorie dry mix, with whole milk",cup,8.68,8.00,25.68,11.80,1.50,4.54,280.00,677.50
"Chocolate pudding, ready-to-eat (snack pack or cup), reduced fat",cup,5.15,0.80,55.72,42.05,0.80,0.00,104.13,411.16
"Chocolate pudding, ready-to-eat (snack pack or cup), fat free",cup,5.04,0.78,54.47,41.11,0.78,0.00,101.79,401.92
"Pudding, vanilla, ready-to-eat (snack pack or cup), reduced fat",cup,5.39,0.00,53.83,40.37,0.00,0.00,106.80,509.95
"Pudding, vanilla, ready-to-eat (snack pack or cup), fat free",cup,5.27,0.00,52.62,39.46,0.00,0.00,104.40,498.49
"Pudding, vanilla, ready-to-eat (snack pack or cup)",cup,3.78,9.87,58.98,44.29,0.00,2.65,127.89,370.61
"Pudding, vanilla, ready-to-eat (snack pack or cup), low calorie",cup,5.05,0.00,50.40,37.80,0.00,0.00,100.00,477.50
"Chocolate pudding, ready-to-eat (snack pack or cup)",cup,5.45,12.01,60.05,44.81,0.00,3.30,133.10,396.70
"Chocolate pudding, ready-to-eat (snack pack or cup), low calorie",cup,4.82,0.75,52.18,39.38,0.75,0.00,97.50,385.00
"Chocolate swirl pudding, ready-to-eat (snack pack or cup)",cup,4.73,11.19,60.87,45.58,0.00,3.04,133.50,392.48
"Pudding, tapioca, ready-to-eat (snack pack or cup)",cup,4.97,9.89,55.31,38.02,0.00,2.45,181.04,369.74
